County,Highway Type,Total,Fatality,Injury
TRINITY,Expressway,0,0,0
TRINITY,Freeway,0,0,0
TRINITY,One-Way City Street,0,0,0
TRINITY,TOTAL,1,0,1
TULARE,Conventional,5,0,5
TULARE,Expressway,3,0,3
TULARE,Freeway,5,0,5
TULARE,One-Way City Street,0,0,0
TULARE,TOTAL,13,0,13
TUOLUMNE,Conventional,0,0,0
TUOLUMNE,Expressway,0,0,0
TUOLUMNE,Freeway,0,0,0
TUOLUMNE,One-Way City Street,0,0,0
TUOLUMNE,TOTAL,0,0,0
VENTURA,Conventional,18,0,18
VENTURA,Expressway,0,0,0
VENTURA,Freeway,6,1,5
VENTURA,One-Way City Street,0,0,0
VENTURA,TOTAL,24,1,23
YOLO,Conventional,0,0,0
YOLO,Expressway,0,0,0
YOLO,Freeway,3,0,3
YOLO,One-Way City Street,0,0,0
YOLO,TOTAL,3,0,3
YUBA,Conventional,3,0,3
YUBA,Expressway,1,0,1
YUBA,Freeway,0,0,0
YUBA,One-Way City Street,0,0,0
YUBA,TOTAL,4,0,4
