OBJECTID,route_id,direction_id,time_period,speed_mph,district_name,org_id,agency,base64_url,route_name,Shape_Length
60,580X,0,all_day,33.05388756,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Del Norte BART Station - San Rafael Express,0.227574965181328
61,1X,0,offpeak,15.52177884,07 - Los Angeles,recX4nQfupRQf3xGD,City of Gardena,aHR0cHM6Ly9yaWRlZ3RyYW5zLmNvbS9ndGZzLnppcA==,Line 1X,0.157288206113129
62,1X,0,peak,15.91011385,07 - Los Angeles,recX4nQfupRQf3xGD,City of Gardena,aHR0cHM6Ly9yaWRlZ3RyYW5zLmNvbS9ndGZzLnppcA==,Line 1X,0.157288206113129
63,1X,0,all_day,15.65598911,07 - Los Angeles,recX4nQfupRQf3xGD,City of Gardena,aHR0cHM6Ly9yaWRlZ3RyYW5zLmNvbS9ndGZzLnppcA==,Line 1X,0.157288206113129
64,1X,1,offpeak,13.58667737,07 - Los Angeles,recX4nQfupRQf3xGD,City of Gardena,aHR0cHM6Ly9yaWRlZ3RyYW5zLmNvbS9ndGZzLnppcA==,Line 1X,0.162678427206881
65,1X,1,peak,14.38482759,07 - Los Angeles,recX4nQfupRQf3xGD,City of Gardena,aHR0cHM6Ly9yaWRlZ3RyYW5zLmNvbS9ndGZzLnppcA==,Line 1X,0.162678427206881
66,1X,1,all_day,13.80549232,07 - Los Angeles,recX4nQfupRQf3xGD,City of Gardena,aHR0cHM6Ly9yaWRlZ3RyYW5zLmNvbS9ndGZzLnppcA==,Line 1X,0.162678427206881
67,2031,0,offpeak,25.82624278,01 - Eureka,recPwXKbGLL4aIqXV,Lake Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,"Highway 175, Kit?s Corner to Middletown",0.37329296212599
68,2031,0,peak,20.52698616,01 - Eureka,recPwXKbGLL4aIqXV,Lake Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,"Highway 175, Kit?s Corner to Middletown",0.37329296212599
69,2031,0,all_day,22.27249183,01 - Eureka,recPwXKbGLL4aIqXV,Lake Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,"Highway 175, Kit?s Corner to Middletown",0.37329296212599
